author_name,appears_in,affiliation,author_id
Orson Mengara,W4390969331,Université du Québec à Montréal,https://openalex.org/A5093657070
Anderson R. Avila,W4390969331,Université du Québec à Montréal,https://openalex.org/A5009407218
Tiago H. Falk,W4390969331,Université du Québec à Montréal,https://openalex.org/A5065418889
Jiayi He,W4400525135,Guangdong University of Technology,https://openalex.org/A5103325923
Bingkun Lai,W4400525135,Guangdong University of Technology,https://openalex.org/A5104217837
Jiawen Kang,W4400525135,Guangdong University of Technology,https://openalex.org/A5062761975
Hongyang Du,W4400525135,Nanyang Technological University,https://openalex.org/A5068782412
Jiangtian Nie,W4400525135,Nanyang Technological University,https://openalex.org/A5048592975
Tao Zhang,W4400525135,Beijing Jiaotong University,https://openalex.org/A5100375796
Yanli Yuan,W4400525135,Beijing Institute of Technology,https://openalex.org/A5111922675
Weiting Zhang,W4400525135,Beijing Jiaotong University,https://openalex.org/A5076675337
Dusit Niyato,W4400525135,Nanyang Technological University,https://openalex.org/A5091266202
Abbas Jamalipour,W4400525135,The University of Sydney,https://openalex.org/A5086268677
Eldar Boltachev,W4379386087,Financial University,https://openalex.org/A5086691420
Wenli Sun,W4387623677,Tongji University,https://openalex.org/A5023045741
Xinyang Jiang,W4387623677,Microsoft Research Asia (China),https://openalex.org/A5011424573
Shuguang Dou,W4387623677,Tongji University,https://openalex.org/A5039546706
Dongsheng Li,W4387623677,Microsoft Research Asia (China),https://openalex.org/A5100440920
Duoqian Miao,W4387623677,Tongji University,https://openalex.org/A5024791074
Cheng Deng,W4387623677,Xidian University,https://openalex.org/A5015874725
Cairong Zhao,W4387623677,Tongji University,https://openalex.org/A5064237960
Yutong Wu,W4402264291;W4390871881,Nanyang Technological University,https://openalex.org/A5101780813
Qingjie Zhang,W4402264291,Tsinghua University,https://openalex.org/A5100750198
Yuan Xu,W4402264291,Nanyang Technological University,https://openalex.org/A5102762154
Han Qiu,W4402264291;W4293812146;W4390871881;W3215700529,Tsinghua University,https://openalex.org/A5019692903
Yurui Zhu,W4402698356,University of Science and Technology of China,https://openalex.org/A5101183338
Xueyang Fu,W4402698356,University of Science and Technology of China,https://openalex.org/A5079007635
Peng-Tao Jiang,W4402698356,,https://openalex.org/A5062345781
Hao Zhang,W4402698356,,https://openalex.org/A5002330627
Qibin Sun,W4402698356,University of Science and Technology of China,https://openalex.org/A5102908901
Jinwei Chen,W4402698356,,https://openalex.org/A5100702929
Zheng-Jun Zha,W4402698356,University of Science and Technology of China,https://openalex.org/A5003217535
Bo Li,W4402698356,,https://openalex.org/A5100374506
Yang Bai,W4404056941,Chengdu University of Information Technology,
Gaojie Xing,W4404056941,Chengdu University of Information Technology,https://openalex.org/A5053775539
Hongyan Wu,W4404056941,Chengdu University of Information Technology,
Zhihong Rao,W4404056941,China Electronics Technology Group Corporation,
Chuan Ma,W4404056941,Chongqing University,https://openalex.org/A5103221383
Shiping Wang,W4404056941,Fuzhou University,https://openalex.org/A5100604225
Xiaolei Liu,W4404056941,China Academy of Engineering Physics,https://openalex.org/A5100442739
Yimin Zhou,W4404056941,Chengdu University of Information Technology,
Jiajia Tang,W4404056941,Chengdu University of Information Technology,
Kaijun Huang,W4404056941,Chengdu University of Information Technology,
Jia-Le Kang,W4404056941,Chengdu University of Information Technology,https://openalex.org/A5000846172
Sangeeta Rani,W4224302404,Amity University,https://openalex.org/A5102726140
Khushboo Tripathi,W4224302404,Amity University,https://openalex.org/A5005681216
Yojna Arora,W4224302404,Amity University,https://openalex.org/A5083440418
Ajay Kumar,W4224302404,Shree Guru Gobind Singh Tricentenary University,https://openalex.org/A5086909851
Quentin Le Roux,W4393241390;W4396790450;W4404577579;W4413278263,Thales (France),https://openalex.org/A5015656596
Eric Bourbao,W4393241390;W4413278263,Thales (France),https://openalex.org/A5067341186
Yannick Teglia,W4393241390;W4413278263,Thales (France),https://openalex.org/A5078246888
Kassem Kallas,W4393241390;W4408355329;W4396790450;W4404577579,Institut national de recherche en sciences et technologies du numérique,https://openalex.org/A5046279472
Tran Huynh,W4393158822,,https://openalex.org/A5073832007
Dang Nguyen,W4393158822,"University of Maryland, College Park",https://openalex.org/A5089725610
Tung Pham,W4393158822;W4403888301,,https://openalex.org/A5101158927
Anh Tran,W4393158822,,https://openalex.org/A5087479883
Zhuangzhuang Zhang,W4407127070,Wuhan University,https://openalex.org/A5070361846
Libing Wu,W4407127070,Wuhan University,https://openalex.org/A5108047844
Jiong Jin,W4407127070,Swinburne University of Technology,https://openalex.org/A5080328538
Enshu Wang,W4407127070,Wuhan University,https://openalex.org/A5085805626
Bingyi Liu,W4407127070,Wuhan University of Technology,https://openalex.org/A5086581834
Qing‐Long Han,W4407127070,Swinburne University of Technology,https://openalex.org/A5083874423
Yichen Li,W4410226390,Huazhong University of Science and Technology,https://openalex.org/A5001225785
Haozhao Wang,W4410226390,Huazhong University of Science and Technology,https://openalex.org/A5027119797
