author_name,appears_in,affiliation,author_id
Shifeng Ni,W4388838066,Nanjing University of Aeronautics and Astronautics,https://openalex.org/A5060434363
Yuyao Sun,W4395056508,Xidian University,https://openalex.org/A5114859590
Qiguang Miao,W4395056508,Xidian University,https://openalex.org/A5103213763
Zizhen Liu,W4400075150,Chinese Academy of Sciences,https://openalex.org/A5103202637
Jing Ye,W4400075150,Chinese Academy of Sciences,https://openalex.org/A5100394414
Huawei Li,W4400075150,Chinese Academy of Sciences,https://openalex.org/A5100768288
Xiaowei Li,W4400075150,Chinese Academy of Sciences,https://openalex.org/A5023380073
Rongfang Bie,W4400188454,Beijing Normal University,https://openalex.org/A5030902303
Jinxiu Jiang,W4400188454,Beijing Normal University,https://openalex.org/A5053956835
Yu Guo,W4400188454,Beijing Normal University,https://openalex.org/A5021523270
Yinbin Miao,W4400188454;W4412971470;W7151306065,Xidian University,https://openalex.org/A5102885964
Zihao Xiao,W3138646989,Guangzhou Experimental Station,https://openalex.org/A5065750423
Chengkun Wei,W4386270217,Zhejiang University,https://openalex.org/A5006624972
Wenlong Meng,W4386270217,Zhejiang University,https://openalex.org/A5032995108
Zhikun Zhang,W4386270217,Zhejiang University,https://openalex.org/A5100746182
Minghu Zhao,W4386270217,Zhejiang University,https://openalex.org/A5068853349
Zihui Zhang,W4386270217,Zhejiang University,https://openalex.org/A5102008204
Wenzhi Chen,W4386270217,Zhejiang University,https://openalex.org/A5101562847
Huaibing Peng,W4390577972;W4386880702,Nanjing University of Science and Technology,https://openalex.org/A5103240401
Huming Qiu,W4390577972;W4405183017;W4402288732,Nanjing University of Science and Technology,https://openalex.org/A5039324800
Honglong Chen,W4400579908;W4409002518;W4396877670;W4399450490;W4400034759,"China University of Petroleum, East China",https://openalex.org/A5005165463
Yudong Gao,W4400579908;W4409002518;W4399808266;W4396877670;W4403623219;W4399450490;W4400034759,"China University of Petroleum, East China",https://openalex.org/A5101218044
Anqing Zhang,W4400579908,"China University of Petroleum, East China",https://openalex.org/A5101616378
Peng Sun,W4400579908;W4403623219,Hunan University,https://openalex.org/A5089450416
Nan Jiang,W4400579908,East China Jiaotong University,https://openalex.org/A5008181744
Weifeng Liu,W4400579908,"China University of Petroleum, East China",https://openalex.org/A5100444156
Yuhao Bian,W4402041560,Dalian University of Technology,https://openalex.org/A5003381743
Shengjing Tian,W4402041560,China University of Mining and Technology,https://openalex.org/A5084435909
Xiuping Liu,W4402041560,Dalian University of Technology,https://openalex.org/A5100645085
Wen Yin,W4402660152,Huazhong University of Science and Technology,https://openalex.org/A5102658991
Jian Lou,W4402660152;W4285428780;W4406857468,Zhejiang University,https://openalex.org/A5041918034
Pan Zhou,W4402660152;W4285428780,Huazhong University of Science and Technology,https://openalex.org/A5100693198
